Wavelength LR;VIS-LR;NIR-LR
0,390;0,060695668835;0,000000000000
0,415;0,130681501276;0,000000000000
0,440;0,172799820466;0,000000000000
0,465;0,209637606745;0,000000000000
0,490;0,222200582230;0,000000000000
0,515;0,227989290628;0,000000000000
0,540;0,234415873206;0,000000000000
0,565;0,229512068097;0,000000000000
0,589;0,230037639574;0,000000000000
0,590;0,213385947903;0,000000000000
0,615;0,227812589322;0,000000000000
0,640;0,248724351643;0,000000000000
0,665;0,261906842966;0,000000000000
0,690;0,256418220394;0,000000000000
0,715;0,266370276544;0,000000000000
0,740;0,263952560358;0,000000000000
0,765;0,262991933878;0,000000000000
0,790;0,254368135183;0,000000000000
0,815;0,218084329373;0,000000000000
0,840;0,227998661410;0,000000000000
0,865;0,250100592225;0,000000000000
0,890;0,237880101761;0,000000000000
0,915;0,227967838025;0,000000000000
0,940;0,103574486799;0,000000000000
0,950;0,000000000000;0,028669127925
0,975;0,000000000000;0,228860480574
1,000;0,000000000000;0,238032153955
1,025;0,000000000000;0,249302931413
1,050;0,000000000000;0,255709858308
1,075;0,000000000000;0,269246710732
1,100;0,000000000000;0,273713113160
1,125;0,000000000000;0,158911555292
1,150;0,000000000000;0,260719937245
1,175;0,000000000000;0,284268787940
1,200;0,000000000000;0,292427355450
1,225;0,000000000000;0,290017789722
1,250;0,000000000000;0,286925132738
1,275;0,000000000000;0,284423052473
1,300;0,000000000000;0,279273964605
1,325;0,000000000000;0,273630342076
1,350;0,000000000000;0,214628183250
1,375;0,000000000000;0,056056691504
1,420;0,000000000000;0,038612876240
1,445;0,000000000000;0,213989254346
1,470;0,000000000000;0,279202003211
1,495;0,000000000000;0,293155812792
1,520;0,000000000000;0,307101730676
1,545;0,000000000000;0,308001091563
1,570;0,000000000000;0,271361684178
1,595;0,000000000000;0,303292501274
1,620;0,000000000000;0,314941869016
1,645;0,000000000000;0,309324854149
1,670;0,000000000000;0,316674376636
1,695;0,000000000000;0,312021137907
1,720;0,000000000000;0,299120261831
1,745;0,000000000000;0,303803632891
1,770;0,000000000000;0,302212959501
1,795;0,000000000000;0,293912114040
1,810;0,000000000000;0,000000000000
